title,date,publisher,venue,authors,abstract,요약
Online exercise-based sports injury risk reduction programs—a systematic review protocol,2019-09-12,,,,"Background: Physical activity and sports participation are beneficial for health but also pose an injury risk. Research efforts in sports injury risk reduction are offering more and more solutions; however, implementation seems to be lagging behind. Research results are mainly disseminated through professional journals, which may restrict their accessibility. Therefore, Internet-based resources may be a useful complement, but their availability, content and quality are not yet known.Objectives: To assess the availability, content and quality of sports injury risk reduction exercise-based programs in an online environment.Method: Google, Yahoo and Bing search engines will be used. Two researchers will independently review the retrieved websites for eligibility through an initial and an in-depth screening. Inactive pages or duplicate pages will be excluded. For each retrieved program data on website and program characteristics will be extracted. The JAMA benchmark criteria and HONcode certification will be used to judge the quality of the websites, and the quality of the exercise programs will be assessed via modified CERT.Discussion: In light of implementation delays in sports injury risk reduction practices, there is a need to broaden dissemination strategies to include media such as the Internet. At the same time, there is also a need to assess the quality and content of online-based resources to guide their potential use. The outcomes of this review will inform clinicians, coaches and others of the current availability and content of injury risk reduction exercise-based programs on the Internet.","This paper presents a systematic review protocol aimed at assessing the availability, content, and quality of online exercise-based programs designed to reduce sports injury risk. By evaluating these resources, the study seeks to enhance dissemination strategies and inform stakeholders about the current landscape of online injury risk reduction programs."
The effect of limb preference on braking strategy and knee joint mechanics during pivoting in female soccer players,2019-09-11,,,,"Purpose: The purpose of this study was to explore whether limb preference influences braking strategy and knee joint mechanics during a 180° pivot task in female soccer players.Methods: Three-dimensional motion analyses of pivoting on the preferred and non-preferred kicking limbs were performed using 10 Qualisys ‘Oqus 7ʹ infrared cameras (240 Hz). Ground reaction forces (GRF) were collected from two AMTI force platforms (1200 Hz) embedded into the running track to examine penultimate (PEN) and final (FC) contact.Results: Both preferred and non-preferred limbs involved greater hip (ES = 2.85–3.81) and knee joint flexion angles (ES = 5.74–5.78) and peak vertical GRFs (ES = 0.87–1.61), but lower average vertical (ES = 2.55–3.01) and horizontal GRFs (ES = 3.05–3.67) during the PEN compared to the FC. Knee abduction angles were very likely greater (ES = 0.61) when turning off the non-preferred limb compared to the preferred limb.Conclusion: These findings may help us question the role of limb preference during pivoting, yet knee abduction angles and moments should be monitored with caution in female soccer players. Thus, it remains inconclusive the role limb preference plays in change of direction biomechanics for performance and risk of injury.","This study investigates the impact of limb preference on braking strategy and knee joint mechanics during 180° pivot tasks in female soccer players. The findings indicate that both preferred and non-preferred limbs have distinct knee joint and hip mechanics, highlighting the need for careful monitoring of knee abduction angles and moments during pivoting, while the precise influence of limb preference on change of direction biomechanics remains unclear."
Effects of Post-Activation Potentiation induced by a plyometric protocol on deceleration performance,2019-09-11,,,,"Abstract Post-Activation Potentiation is a phenomenon by which muscular performance characteristics are acutely enhanced as a result of their previous contractile actions. It has been shown how Post-Activation Potentiation, which is usually evoked through heavy resistance exercise, has the potential to improve many different power performances, such as sprinting and jumping. Due to an easier applicability, some studies explored the potential of plyometric muscular actions to evoke the effects of Post-Activation Potentiation. Despite some findings on acceleration running performance, to the authors’ best knowledge, no studies investigated the effects of Post-Activation Potentiation on deceleration performance, which is a key factor in sports involving change of directions. Therefore, the aim of this study is to investigate the influence of a plyometric exercise protocol to a subsequent deceleration running performance. University soccer players (n = 18) performed 7 deceleration trials: at baseline and after ∼ 15 seconds, 2, 4, 8, 12 and 16 minutes a walking control condition (C) or 3 sets of 10 repetitions of alternate-leg bounding (plyometric, P). Results show that no significant differences were found at any of the trials of the control condition (C) in comparison to the relative baseline. In the plyometric condition (P), the deceleration performance executed 2 minutes after the plyometric activity resulted significantly faster compared to the relative baseline (p = 0.042; ES = 0.86, large effect; % of improvement = 4.13 %). Therefore, the main findings of this study showed that a plyometric exercise has the potential to improve a subsequent running deceleration performance in soccer players, if an adequate recovery between these activities is provided to the players. These findings encourage further future investigations about the possible potentiating effects of plyometric activities on more complex actions like changes of direction and agility.","The paper investigates the effects of a plyometric exercise protocol on deceleration performance in soccer players, focusing on the phenomenon of Post-Activation Potentiation. The results indicate that performing plyometric exercises can significantly enhance deceleration performance shortly after the activity, suggesting implications for training practices in sports involving rapid directional changes."
The relationship between sprint speed and sprint motion in amputee soccer players,2019-09-07,,,,"Sprint performance plays an important role in amputee soccer.Sprint motion such as step length and frequency are generally accepted as one of the determining factors of sprint performance.However, there is a paucity of sprint motion studies.Here we sought to analyze sprint motion in outfield positioned amputee soccer players using crutches and to clarify the relationship between sprint speed and sprint motion.Twelve male Japanese outfield players participated; they performed a 30-m sprint with maximum effort.Sprint times and speeds were recorded using electronic timing gates.A high-speed video camera recorded sprint motion.The time and distance of each crutch and step were determined via image analysis.Sprint speed was significantly positively correlated with body mass (r=0.692,p=0.013), length and frequency of one running cycle(r=0.817,p=0.001; r=0.666, p=0.018, respectively), 1st-2nd step length (r=0.890,p=0.001), and crutch-1st step length (r=0.659,p=0.020).In addition, sprint speed was significantly negatively correlated with time taken for each 10-m interval as well as with contact time of first foot (r=-0.881,p=0.001) and crutch stance time (r=-0.670,p=0.017).Our results suggest that improving sprint speed requires increasing the step length within a shorter time frame in first foot step and crutch stance.","This paper analyzes the relationship between sprint speed and sprint motion in amputee soccer players using crutches. It finds that sprint speed is positively correlated with body mass and various measures of running cycle length and frequency, while indicating that sprint speed can be improved by enhancing step length and reducing the time taken during initial foot contact and crutch stance."
The Effect of Training Interventions on Change of Direction Biomechanics Associated with Increased Anterior Cruciate Ligament Loading: A Scoping Review,2019-09-06,,,,"Change of direction (COD) manoeuvres are associated with anterior cruciate ligament (ACL) injury risk due to the propensity to generate large multiplanar knee joint loads. Given the short- and long-term consequences of ACL injury, practitioners are interested in methods that reduce knee joint loads and subsequent ACL loading. An effective strategy to reduce ACL loading is modifying an athlete's movement mechanics to reduce knee joint loading. The purpose of this scoping review was to critically appraise and comprehensively synthesise the existing literature related to the effects of training interventions on COD biomechanics associated with increased knee joint loads and subsequent ACL loading, and identify gaps and recommend areas for future research. A review of the literature was conducted using Medline and Sport DISCUS databases. Inclusion criteria consisted of pre-post analysis of a COD task, a minimum 4-week training intervention, and assessments of biomechanical characteristics associated with increased ACL loading. Of the 1,027 articles identified, 22 were included in the scoping review. Based on current literature, balance training and COD technique modification are the most effective training modalities for reducing knee joint loading (small to moderate effect sizes). One study reported dynamic core stability training was effective in reducing knee joint loads, but further research is needed to definitively confirm the efficacy of this method. Perturbation-enhanced plyometric training, the F-MARC 11 + soccer specific warm-up, Oslo Neuromuscular warm-up, and resistance training are ineffective training modalities to reduce COD knee joint loads. Conflicting findings have been observed for the Core-Pac and mixed training programme. Consequently, practitioners should consider incorporating balance and COD technique modification drills into their athletes' training programmes to reduce potentially hazardous knee joint loads when changing direction. However, training intervention studies can be improved by investigating larger sample sizes (> 20), including a control group, acknowledging measurement error when interpreting their findings, and considering performance implications, to confirm the effectiveness of training interventions and improve adherence.","This scoping review examines the impact of training interventions on change of direction (COD) biomechanics and their association with anterior cruciate ligament (ACL) loading in sports. The findings suggest that balance training and COD technique modifications significantly reduce knee joint loading, while other training modalities show limited effectiveness, highlighting the need for more robust research on training interventions."
The Effects of Six-Weeks Change of Direction Speed and Technique Modification Training on Cutting Performance and Movement Quality in Male Youth Soccer Players,2019-09-06,,,,"Cutting manoeuvres are important actions associated with soccer performance and a key action associated with non-contact anterior cruciate ligament injury; thus, training interventions that can improve cutting performance and movement quality are of great interest. The aim of this study, therefore, was to determine the effects of a six-week change of dire[ction (COD) speed and technique modification training intervention on cutting performance and movement quality in male youth soccer players (U17s, n = 8) in comparison to a control group (CG) (U18s, n = 11) who continued 'normal' training. Cutting performance was assessed based on completion time and COD deficit, and the field-based cutting movement assessment score (CMAS) qualitative screening tool was used to assess cutting movement quality. Significant main effects for time (pre-to-post changes) (p ≤ 0.041, η2 = 0.224-0.839) and significant interaction effects of time and group were observed for cutting completion times, COD deficits, and CMASs. Improvements in completion time (p < 0.001, g = 1.63-1.90, -9% to -11% vs. -5% to 6%) and COD deficit (p ≤ 0.012, g = -1.63 to -2.43, -40-52% vs. -22% to -28%) for the COD intervention group (IG) were approximately two-times greater than the CG. Furthermore, lower CMASs (i.e., improved cutting movement quality) were only observed in the IG (p ≤ 0.025, g = -0.85 to -1.46, -23% to -34% vs. 6-19%) compared to the CG. The positive changes in CMASs were attributed to improved cutting technique and reduced incidences of high-risk deficits such as lateral trunk flexion, extended knee postures, knee valgus, hip internal rotation, and improved braking strategies. The results of this study indicate that COD speed and technique modification training, in addition to normal skills and strength training, improves cutting performance and movement quality in male youth soccer players. Practitioners working with male youth soccer players should implement COD speed and technique modification training to improve cutting performance and movement quality, which may decrease potential injury-risk.","This paper investigates the impact of a six-week change of direction speed and technique modification training on cutting performance and movement quality in male youth soccer players. The study finds significant improvements in cutting completion times, change of direction deficits, and movement quality in the intervention group compared to a control group, indicating that targeted training can enhance performance and potentially reduce injury risk."
Investigation on Soccer Referees: A Narrative Review,2019-09-01,,,,"Abstract Introduction. The heightened physical exertion stemming from greater physical loads in football matches has elicited greater development of physical conditioning in both players and referees. Material and methods. The current study consisted of a meta-analysis geared towards identifying the scientific data currently available on the training of referees. Results. With respect to the characterization of the training of football referees, the results of this study showed that there is a diversity of both its methods and contents. As a result of this and based on the support offered by the meta-analysis, a proposal for categorizing the contents of this training is presented. Testing-wise, the results also showed that the FIFA test fails to identify the varying intensities that occur within a match setting and to characterize the distribution of referees’ varying exertions throughout match settings. Lastly, the results of this study also indicated that the training of referees ought to include periodization guidelines over the course of a season, since doing so allows for the optimization and monitoring of referees’ performance.","This paper provides a narrative review on the training and physical conditioning of football referees, highlighting the diverse methods and content of their training programs. It identifies shortcomings in the current FIFA fitness test and proposes the incorporation of periodization guidelines to better optimize and monitor referees' performance throughout the season."
Influence of Cleat Design on Knee Joint Moments During Cutting Maneuver and Instep Kick in Soccer,2019-09-01,,,,"Background.This study aimed to compare the influence of different cleat designs on specific soccer movements.Methods.The sample consisted of 10 recreational players who performed cutting and kicking movements using soccer shoes with three different cleat shapes: C1 (Circular), C2 (Rectangular) and C3 (Mixed).Kinematic data were collected using the Vicon system and an AMTI force platform.The moments were calculated by the Nexus System and the peaks extracted in Matlab at every 10% of the stance phase.Repeated measures ANOVA and the Bonferroni post-hoc test were conducted at α<0.05 for statistical analysis.Results.C1 exhibited a higher external rotation moment (P<0.05) at the onset of the stance phase than C2 and C3.In the kicking movement, C3 showed a higher valgus moment (P<0.05)than C2 and C1 in the first 10% of stance.C3 also obtained a higher internal rotation moment (P<005) at 60% of stance.Conclusions.These results suggest that C1 may offer greater stability at the onset of the stance phase.In kicking, the different physical traits of C3 allow faster transition and deeper soil penetration.Soccer cleats influence the knee joint moment during cutting movements and kicking.These results are important form to reduce the risk of injury.","This study investigates the impact of different soccer cleat designs on knee joint moments during cutting and kicking actions in soccer players. The results indicate that specific cleat shapes significantly affect knee stability and movement mechanics, highlighting the importance of cleat design in potentially reducing injury risk."
The Effect of Soccer Ball Impulse on Lower Limbs of the Human Body,2019-09-01,,,,"Despite the fact that soccer is one of the most popular sports in the world, little attention has been paid to this game scientifically which could otherwise provide a broad range of interesting outcomes. Sport equipment has a significant effect on how a game is played. Different features of the soccer ball such as its size, structure, weight and potential incoming pressure also affect the nature and quality of the game. Different models of soccer balls have been developed with the aim of increasing game quality and performance. Many scholars have investigated the displacements during typical soccer games caused by the ball impulse and the feet, but few studies have focused on the interaction between the ball and the feet. The aim of the present study is, thus, to investigate tension development and possible deformations caused by kicking the ball. Players who are well aware of soccer rules and have a little knowledge about soccer-induced injuries easily realize that the impulse of a non-standard ball considering its material, size or weight may severely damage the knees or other body parts. Due to the importance of the issue, to evaluate the impact of the soccer ball on the footballer’s feet, two finite element models of typical soccer balls have been studied with respect to the standard features of the real soccer ball in the three layers of leather, thread and rubber. The first model is proportional to the mass of the standard ball and the second incorporates a mass less than the standard level. Two models of bones are used in the present study: a single layer bone and a two-layer bone with cortical and cancellous tissues. For better understanding of the injuries resulting from the impulse from a non-standard ball, the used finite element software employs mechanic laws of sport biomechanics to provide better understanding of the details using mathematical modeling, computer simulation and experimental measurements. In this regard, this significant point is achieved through modeling the ball impulse to the feet which is quite complex and needs some simplification. As the soccer ball is flexible, most of the force is absorbed by the model’s flexibility. In the other model with a less flexible ball, the force absorbed by the bone is significantly more.","This study investigates the impact of soccer ball impulse on lower limbs, specifically focusing on the tension development and potential injuries caused by kicking. Utilizing finite element models, the research compares standard and non-standard soccer balls to understand how variations in ball features can affect players' feet and overall injury risk."
Effects of autologous adipose-derived regenerative stem cells administered at the time of anterior cruciate ligament reconstruction on knee function and graft healing,2019-08-30,,,,"Purpose: To compare the healing and clinical outcomes of anterior cruciate ligament (ACL) reconstruction between patients with or without intraoperative administration of adipose-derived regenerative stem cells (ADRC). Methods: Between 2013 and 2014, the outcomes of 20 soccer players undergoing ACL reconstruction using bone–patellar tendon–bone autograft infiltrated with ADRC at the end of the procedure were compared to a historical, matched cohort of 19 soccer players undergoing the same procedure without ADRC. Outcomes were obtained at baseline, and 6 and 12 months postop for IKDC (International Knee Documentation Committee), Lysholm, and Lequesne, and at 2, 4, 6, and 12 months postop for VAS (visual analogue scale) for pain and graft maturation to evaluate the ligamentization process (magnetic resonance imaging (MRI)-based). Results: Both groups significantly improved the IKDC ( p &lt; 0.001 in both groups), Lysholm ( p &lt; 0.001 in both groups), Lequesne index ( p &lt; 0.001 in both groups), VAS for pain ( p = 0.002 for the ADRC and p &lt; 0.001 for the control group), and MRI scores ( p &lt; 0.001 in both groups) in the 12 months postop compared to baseline scores. However, there were no significant differences in the improvement of the outcomes between groups across time ( p &gt; 0.05). All patients returned to sports after surgery, but 8 (40%) patients in the ADRC and 13 (68.4%) patients in the control group had lower Tegner activity score at 12 months postop. Conclusions: Patients receiving ADRC at the time of ACL reconstruction significantly improved knee function and healing/maturation of the graft at 12 months. However, this improvement was not statistically significant compared to a control group undergoing ACL reconstruction alone.","The paper investigates the effects of administering autologous adipose-derived regenerative stem cells (ADRC) during anterior cruciate ligament (ACL) reconstruction on knee function and graft healing in soccer players. While both groups displayed significant improvements in knee function and graft maturation at 12 months post-operation, no statistically significant differences were found between the ADRC group and the control group."
Physical Performance Measures Correlate with Head Impact Exposure in Youth Football,2019-08-30,,,,"ABSTRACT Purpose Head impact exposure (HIE) (i.e., magnitude and frequency of impacts) can vary considerably among individuals within a single football team. To better understand individual-specific factors that may explain variation in head impact biomechanics, this study aimed to evaluate the relationship between physical performance measures and HIE metrics in youth football players. Methods Head impact data were collected from youth football players using the Head Impact Telemetry System. Head impact exposure was quantified in terms of impact frequency, linear and rotational head acceleration, and risk-weighted cumulative exposure metrics (RWE Linear , RWE Rotational , and RWE CP ). Study participants completed four physical performance tests: vertical jump, shuttle run, three-cone, and 40-yard sprint. The relationships between performance measures, and HIE metrics were evaluated using linear regression analyses. Results A total of 51 youth football athletes (ages, 9–13 yr) completed performance testing and received combined 13,770 head impacts measured with the Head Impact Telemetry System for a full season. All performance measures were significantly correlated with total number of impacts in a season, RWE Linear -Season, and all RWE-Game metrics. The strongest relationships were between 40-yard sprint speed and all RWE-Game metrics (all P ≤ 0.0001 and partial R 2 &gt; 0.3). The only significant relationships among HIE metrics in practice were between shuttle run speed and total practice impacts and RWE Linear -Practices, 40 yard sprint speed and total number of practice impacts, and three-cone speed and 95th percentile number of impacts/practice. Conclusions Generally, higher vertical jump height and faster times in speed and agility drills were associated with higher HIE, especially in games. Physical performance explained less variation in HIE in practices, where drills and other factors, such as coaching style, may have a larger influence on HIE.","This paper investigates the correlation between physical performance measures and head impact exposure (HIE) in youth football players, specifically assessing how individual performance impacts head impact metrics. The findings indicate that overall physical performance, particularly sprint speed and vertical jump height, is significantly associated with increased head impact exposure during games, while practice environments show different influencing factors."
Soccer-related head injuries—analysis of sentinel surveillance data collected by the electronic Canadian Hospitals Injury Reporting and Prevention Program,2019-08-30,,,,"Participating in sports is a great way to gain physical, psychological, and social benefits. However, it also carries the risk of injury. Soccer is one of the most popular sports worldwide, and in recent years, there have been concerns about potential vulnerabilities to head injuries.To investigate soccer-related head injuries (SRHIs), using data from the electronic Canadian Hospitals Injury Reporting and Prevention Program (eCHIRPP) surveillance system. Specifically, we aim to compare characteristics of SRHI cases to all head injury cases within the eCHIRPP database.Descriptive analyses of emergency department (ED) injury surveillance data (2011 to 2017) for individuals aged 5 to 29 years from all participating eCHIRPP sites. Computation of proportionate injury ratios (PIR) comparing SRHIs to all head injuries reported to eCHIRPP, and 95% confidence intervals (CI).A total of 3,970 SRHIs were reported to eCHIRPP. Injuries were from contact with another player, the ball, ground, goal-post, and other causes. Of the injuries caused by contact with the ball, 9% were from purposely directing the ball with the head (heading). A higher proportion of concussions (PIR=1.32, 95% confidence interval [CI]: 1.27 to 1.37) and minor closed head injuries (PIR=1.20, 95% CI: 1.15 to 1.26) were observed in soccer players. Higher proportions of head injuries occurred in organized soccer and soccer played outdoors. However, admission to the ED for a SRHI was rare (PIR=0.40, 95% CI: 0.30 to 0.55).Overall, elevated proportions of brain injuries were observed among soccer players, however, these injuries were unlikely to result in a hospital admission. Moreover, purposely heading the ball contributed to few ED visits.","This paper investigates soccer-related head injuries (SRHIs) using data from the electronic Canadian Hospitals Injury Reporting and Prevention Program (eCHIRPP), specifically comparing characteristics of SRHI cases to all head injury cases within the database. Key findings reveal a higher proportion of concussions and minor closed head injuries among soccer players, with heading the ball contributing minimally to emergency department visits."
